medallion,hack_license,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance
2010000001,2010000001,VTS,1/1/2010 0:00,1/1/2010 0:34,1,34,14.05
2010000002,2010000002,VTS,1/1/2010 0:00,1/1/2010 0:33,1,33,9.65
2010000003,2010000003,VTS,1/1/2010 0:00,1/1/2010 0:07,1,7,1.63
2010000004,2010000004,VTS,1/1/2010 0:00,1/1/2010 0:33,1,33,26.61
2010000005,2010000005,VTS,1/1/2010 0:00,1/1/2010 0:28,2,28,3.15
2010000006,2010000006,VTS,1/1/2010 0:00,1/1/2010 0:27,1,27,11.15
2010000007,2010000007,VTS,1/1/2010 0:00,1/1/2010 0:18,3,18,4.3
2010000008,2010000008,VTS,1/1/2010 0:00,1/1/2010 0:27,1,27,9.83
2010000009,2010000009,CMT,1/1/2010 0:00,1/1/2010 0:18,1,18.22,3.4
2010000010,2010000010,CMT,1/1/2010 0:00,1/1/2010 0:36,2,36.42,12.4
2010000011,2010000011,CMT,1/1/2010 0:00,1/1/2010 0:01,1,1.1,0.1
2010000012,2010000012,CMT,1/1/2010 0:00,1/1/2010 0:14,1,14.22,6.6
2010000013,2010000013,DDS,1/1/2010 0:00,1/1/2010 0:35,3,35.14,7.3
2010000014,2010000014,CMT,1/1/2010 0:00,1/1/2010 0:02,1,2.75,0.5
2010000015,2010000015,CMT,1/1/2010 0:00,1/1/2010 0:05,1,5.48,1.7
2010000016,2010000016,CMT,1/1/2010 0:00,1/1/2010 0:10,2,10.38,1.8
2010000017,2010000017,CMT,1/1/2010 0:00,1/1/2010 0:17,1,17.68,4.7
2010000018,2010000018,CMT,1/1/2010 0:00,1/1/2010 0:06,1,6.62,1
2010000019,2010000019,CMT,1/1/2010 0:00,1/1/2010 0:28,4,28.48,5
2010000020,2010000020,CMT,1/1/2010 0:00,1/1/2010 0:16,1,16.17,4.9
2010000021,2010000021,CMT,1/1/2010 0:00,1/1/2010 0:07,1,7,2.1
2010000022,2010000022,VTS,1/1/2010 0:00,1/1/2010 0:00,3,0,0
2010000023,2010000023,CMT,1/1/2010 0:00,1/1/2010 0:03,2,3.63,0.7
2010000024,2010000024,CMT,1/1/2010 0:00,1/1/2010 0:04,3,4.02,0.7
2010000025,2010000025,VTS,1/1/2010 0:00,1/1/2010 0:00,1,0,0.05
2010000026,2010000026,CMT,1/1/2010 0:00,1/1/2010 0:14,1,13.73,4.3
2010000027,2010000027,CMT,1/1/2010 0:00,1/1/2010 0:22,1,22.55,6.1
2010000028,2010000028,CMT,1/1/2010 0:00,1/1/2010 0:10,1,10.13,3.2
2010000029,2010000029,CMT,1/1/2010 0:00,1/1/2010 0:00,1,3.00E-02,0
2010000030,2010000030,CMT,1/1/2010 0:00,1/1/2010 0:06,2,6.17,0.7
2010000031,2010000031,CMT,1/1/2010 0:00,1/1/2010 0:04,1,3.8,0.5
2010000032,2010000032,CMT,1/1/2010 0:00,1/1/2010 0:08,2,8.38,1.8
2010000033,2010000033,CMT,1/1/2010 0:00,1/1/2010 0:06,1,6.12,1.4
2010000034,2010000034,CMT,1/1/2010 0:00,1/1/2010 0:17,1,17.42,4.4
2010000035,2010000035,CMT,1/1/2010 0:00,1/1/2010 0:00,1,0.37,0
2010000036,2010000036,CMT,1/1/2010 0:00,1/1/2010 0:06,1,5.8,1.8
2010000037,2010000037,DDS,1/1/2010 0:00,1/1/2010 0:13,3,13.23,2.3
2010000038,2010000038,CMT,1/1/2010 0:00,1/1/2010 0:09,1,8.9,2.1
2010000039,2010000039,CMT,1/1/2010 0:00,1/1/2010 0:16,4,15.78,3.2
2010000040,2010000040,CMT,1/1/2010 0:00,1/1/2010 0:07,1,6.87,1.8
2010000041,2010000041,CMT,1/1/2010 0:00,1/1/2010 0:19,2,18.37,7.3
2010000042,2010000042,CMT,1/1/2010 0:00,1/1/2010 0:04,2,3.65,0.6
2010000043,2010000043,CMT,1/1/2010 0:00,1/1/2010 0:10,4,9.78,2
2010000044,2010000044,CMT,1/1/2010 0:00,1/1/2010 0:10,1,10.12,2.4
